Profile,Data set,Iteration,Function name,Calls,Calls (relative),Self time,Self time (relative),Proportion,Proportion (relative)
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","add_neighbour",19796680,0.499980995010338,0.32,0.00906772456786625,0.9,0.00899310528594744
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","best_outliers",500,1.26279001077539e-05,0.00666666666666667,0.000188910928497214,0.00666666666666667,6.66155947107218e-05
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","distance_squared",19796680,0.499980995010338,32.2566666666667,0.914045527533768,91.4866666666667,0.914165806215235
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","merge",500,1.26279001077539e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","read_vardump",1,2.52558002155077e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","set_num_vectors",2,5.05116004310155e-08,0.02,0.000566732785491641,0.0566666666666667,0.000566232555041135
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","sort_block_scores_descending",500,1.26279001077539e-05,0.00333333333333333,9.44554642486068e-05,0.01,9.99233920660827e-05
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","test",1,2.52558002155077e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","letter-recognition","average","top_n_outlier_pruning_block",1,2.52558002155077e-08,2.68333333333333,0.0760366487201284,7.61666666666667,0.0761083169569996
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","add_neighbour",19796680,0.499980995010338,2.21666666666667,0.0593167424850593,5.94,0.0593564719205916
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","best_outliers",500,1.26279001077539e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","distance_squared",19796680,0.499980995010338,32.4566666666667,0.868521987333868,86.91,0.86846312704017
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","merge",500,1.26279001077539e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","read_vardump",1,2.52558002155077e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","set_num_vectors",2,5.05116004310155e-08,0.03,0.000802782981000803,0.0766666666666667,0.000766104856438612
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","sort_block_scores_descending",500,1.26279001077539e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","test",1,2.52558002155077e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","letter-recognition","average","top_n_outlier_pruning_block",1,2.52558002155077e-08,2.66666666666667,0.0713584872000713,7.14666666666667,0.0714142961827993
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","add_neighbour",8011207,0.499978250166275,0.143333333333333,0.010521164668461,1.03,0.0102903956307446
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","best_outliers",346,2.15938090923791e-05,0.01,0.000734034744311231,0.05,0.00049953376848275
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","distance_squared",8011207,0.499978250166275,13.36,0.980670418399804,98.2033333333333,0.981117623551352
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","merge",346,2.15938090923791e-05,0.00333333333333333,0.000244678248103744,0.0233333333333333,0.000233115758625283
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","read_vardump",1,6.24098528681478e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","set_num_vectors",2,1.24819705736296e-07,0.00333333333333333,0.000244678248103744,0.0233333333333333,0.000233115758625283
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","test",1,6.24098528681478e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","magicgamma","average","top_n_outlier_pruning_block",1,6.24098528681478e-08,0.103333333333333,0.00758502569121605,0.763333333333333,0.00762621553216998
"TopN_Outlier_Pruning_Block_SORTED","magicgamma","average","add_neighbour",8427444,0.499957493690349,0.153333333333333,0.00946112710818593,0.936666666666667,0.0093591793232081
