Profile,Data set,Iteration,Function Name,Calls,Calls (relative),Total time,Total time (relative),Self time,Self time (relative)
"C_no_blocking","ball1","average","graphics/private/noselection",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/positions",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/positions>LocalUnion",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/postProcessPrinttables",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/prepare",1,1.7926822709699e-05,1.755,0.03890403670945,0.11,0.0125232438996623
"C_no_blocking","ball1","average","graphics/private/preparehg",1,1.7926822709699e-05,1.645,0.0364656070581455,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/preparepointers",1,1.7926822709699e-05,0.1,0.00221675422845869,0,0
"C_no_blocking","ball1","average","graphics/private/prepareui",1,1.7926822709699e-05,0.216666666666667,0.00480296749499383,0.213333333333333,0.0242875033205571
"C_no_blocking","ball1","average","graphics/private/render",1,1.7926822709699e-05,0.123333333333333,0.00273399688176572,0,0
"C_no_blocking","ball1","average","graphics/private/restore",1,1.7926822709699e-05,1.38833333333333,0.0307759378717682,0,0
"C_no_blocking","ball1","average","graphics/private/restorehg",1,1.7926822709699e-05,1.38833333333333,0.0307759378717682,0.0533333333333333,0.00607187583013928
"C_no_blocking","ball1","average","graphics/private/restorepointers",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/restoreui",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/setpp",1,1.7926822709699e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/setset",11,0.000197195049806689,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/setup",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphics/private/useOriginalHGPrinting",8,0.000143414581677592,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","graphics/private/validate",1,1.7926822709699e-05,0.00333333333333333,7.38918076152897e-05,0,0
"C_no_blocking","ball1","average","graphics/private/validateHandleToPrint",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","graphprofile (MEX-file)",1,1.7926822709699e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","hardcopy",1,1.7926822709699e-05,0.116666666666667,0.00258621326653514,0.116666666666667,0.0132822283784297
"C_no_blocking","ball1","average","hggetbehavior",5186,0.0929685025724991,2.40433333333333,0.0532981608329084,0.652666666666667,0.0743045804713294
"C_no_blocking","ball1","average","hggetbehavior>localPeek",5186,0.0929685025724991,1.75166666666667,0.0388301449018347,0.666,0.0758225494288642
"C_no_blocking","ball1","average","hierarchy",1,1.7926822709699e-05,0.03,0.000665026268537607,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","hold",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","initprintexporttemplate",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","int2str",3,5.3780468129097e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","inv_permutation",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","iscellstr",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","ismember",2,3.5853645419398e-05,0.00333333333333333,7.38918076152897e-05,0,0
"C_no_blocking","ball1","average","ismember>ismemberlegacy",2,3.5853645419398e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","ispc",17,0.000304755986064883,0,0,0,0
"C_no_blocking","ball1","average","isprop",5186,0.0929685025724991,1.08566666666667,0.0240665617402999,1.08566666666667,0.123600622367273
"C_no_blocking","ball1","average","isunix",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","java.util.UUID (Java method)",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","kdtree_build (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","kdtree_k_nearest_neighbors (MEX-file)",552,0.00989560613575385,0.01,0.000221675422845869,0.01,0.00113847671815111
"C_no_blocking","ball1","average","laplacian2 (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","lineseries",2416,0.0433112036666328,0.716,0.0158719602757642,0.309666666666667,0.0352548290387462
"C_no_blocking","ball1","average","matlab_bgl-4.0.1/...ate/check_matlab_bgl",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","matlab_bgl-4.0.1/private/components_mex (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","matlab_bgl-4.0.1/private/merge_options",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","matlab_bgl-4.0.1/private/mst_mex (MEX-file)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","message",600,0.0107560936258194,0.0866666666666667,0.00192118699799753,0.0866666666666667,0.00986679822397632
"C_no_blocking","ball1","average","mst",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","mx_d_preconditioner (MEX-file)",2222.33333333333,0.0398393756685211,0.116666666666667,0.00258621326653514,0.116666666666667,0.0132822283784297
"C_no_blocking","ball1","average","newplot",2416,0.0433112036666328,1.25233333333333,0.0277611521210643,0.659333333333333,0.0750635649500968
"C_no_blocking","ball1","average","newplot>ObserveAxesNextPlot",2416,0.0433112036666328,0.386333333333333,0.00856406050261207,0.386333333333333,0.0439831505445714
"C_no_blocking","ball1","average","newplot>ObserveFigureNextPlot",2416,0.0433112036666328,0.206666666666667,0.00458129207214796,0.206666666666667,0.0235285188417897
"C_no_blocking","ball1","average","num2str",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","num2str>convertUsingRecycledSprintf",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","num2str>handleNumericPrecision",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","onCleanup>onCleanup.delete",16,0.000286829163355184,0,0,0,0
"C_no_blocking","ball1","average","onCleanup>onCleanup.onCleanup",16,0.000286829163355184,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","opaque.char",4,7.1707290838796e-05,0,0,0,0
"C_no_blocking","ball1","average","opaque.toChar",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","pcg",200,0.0035853645419398,1.64166666666667,0.0363917152505302,0.766,0.0872073166103753
"C_no_blocking","ball1","average","print",1,1.7926822709699e-05,3.46333333333333,0.076773588112286,0,0
"C_no_blocking","ball1","average","print>@()restorepointers(pj)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","print>LocalAdjustPrintParamsForDepViewer",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","print>LocalCreatePrintJob",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","print>LocalHandleSimulink",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","print>LocalPrint",1,1.7926822709699e-05,3.35333333333333,0.0743351584609814,0,0
"C_no_blocking","ball1","average","print>create@()restorepointers(pj)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","print>localIsPrintHeaderHeaderSpecEmpty",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","printjob",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","printjob>LocalXTerminalMode",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","printjob>getPJStruct",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","printopt",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","printtables",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","printtables>localBuildOptions",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","process_hierarchy",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","process_sparse_matrix",4,7.1707290838796e-05,0.00333333333333333,7.38918076152897e-05,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","randsrc",1,1.7926822709699e-05,0.0433333333333333,0.000960593498998766,0.03,0.00341543015445334
"C_no_blocking","ball1","average","randsrc>@(a,b)rand(a,b)",1,1.7926822709699e-05,0.0133333333333333,0.000295567230461159,0.0133333333333333,0.00151796895753482
"C_no_blocking","ball1","average","randsrc>create@(a,b)rand(a,b)",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","repmat",13,0.000233048695226087,0,0,0,0
"C_no_blocking","ball1","average","savtoner",2,3.5853645419398e-05,0.07,0.00155172795992108,0.00333333333333333,0.000379492239383705
"C_no_blocking","ball1","average","savtoner>LocalSet",12,0.000215121872516388,0,0,0,0
"C_no_blocking","ball1","average","savtoner>color2matrix",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","savtoner>matrix2color",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","scribe/private/getplotmanager",2416,0.0433112036666328,0.183333333333333,0.00406404941884093,0.183333333333333,0.0208720731661038
"C_no_blocking","ball1","average","set_matlab_bgl_default",2,3.5853645419398e-05,0,0,0,0
"C_no_blocking","ball1","average","setdiff",1,1.7926822709699e-05,0.0133333333333333,0.000295567230461159,0,0
"C_no_blocking","ball1","average","setdiff>setdifflegacy",1,1.7926822709699e-05,0.0133333333333333,0.000295567230461159,0,0
"C_no_blocking","ball1","average","sortrows",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","sortrows>sort_back_to_front",1,1.7926822709699e-05,0,0,0,0
"C_no_blocking","ball1","average","sparfun/private/iterapp",4844.66666666667,0.0868494804209218,0.619333333333333,0.0137290978549208,0.426333333333333,0.0485370574171758
