Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"musk",1000,1,167,6598,201.833,0.979339223935058,200,6598,3.952,0.288783339422726,86961757,0.399745553489423,62298,1
"musk",10000,1,167,6598,206.072,0.999907807716009,200,6598,13.685,1,130488763,0.599830368992949,62298,1
"musk",100000,1,167,6598,206.091,1,200,6598,13.409,0.979831932773109,174015769,0.799915184496474,62298,1
"musk",1000000,1,167,6598,205.439,0.996836348991465,200,6598,13.498,0.986335403726708,217542775,1,62298,1
"pendigits",0,1,17,10992,225.848,0.831558638566106,200,10992,1.290,0.0432653608800644,4825378,0.0117406330937644,10698,0.100041146106082
"pendigits",1,1,17,10992,226.844,0.835225850159796,200,10992,1.502,0.0503756372417494,4825378,0.0117406330937644,10698,0.100041146106082
"pendigits",10,1,17,10992,232.084,0.854519212359534,200,10992,1.617,0.0542326267775691,9711725,0.0236296099357479,21393,0.200054238048926
"pendigits",15,1,17,10992,230.037,0.846982282507843,200,10992,1.631,0.0547021733297558,14592555,0.0355051633583063,32086,0.300048627216279
"pendigits",30,1,17,10992,230.428,0.848421920794121,200,10992,1.524,0.0511134961094714,19557373,0.0475850680860432,42775,0.400005610832648
"pendigits",40,1,17,10992,229.671,0.845634692705342,200,10992,1.655,0.0555071102763617,24623641,0.059911810932444,53451,0.499841026408319
"pendigits",45,1,17,10992,234.196,0.862295468269047,200,10992,1.572,0.0527233700026831,29745402,0.0723735738647888,64120,0.599610982269769
"pendigits",60,1,17,10992,233.351,0.859184229517371,200,10992,1.416,0.0474912798497451,34872546,0.0848484341809952,74795,0.699437046457694
"pendigits",90,1,17,10992,233.984,0.861514897126615,200,10992,1.330,0.0446069224577408,40205533,0.097824131351417,85443,0.799010623176479
"pendigits",100,1,17,10992,229.267,0.844147189207499,200,10992,1.336,0.0448081566943923,45583599,0.110909510291688,96091,0.898584199895265
"pendigits",1000,1,17,10992,231.405,0.852019175540141,200,10992,3.393,0.113797960826402,59308443,0.144303444958186,105949,0.990770180294756
"pendigits",10000,1,17,10992,264.445,0.97367045170032,200,10992,26.868,0.901126911725248,169371965,0.412099134499911,106936,1
"pendigits",100000,1,17,10992,267.378,0.984469579817081,200,10992,29.612,0.99315803595385,290185037,0.706049567249955,106936,1
"pendigits",1000000,1,17,10992,271.596,1,200,10992,29.816,1,410998109,1,106936,1
"runningex10k",0,1,2,10000,231.809,0.902419464720195,200,10000,11.809,0.391506149918775,47012422,0.0568702851537018,17026,0.104184896677906
"runningex10k",1,1,2,10000,233.673,0.909675912408759,200,10000,12.394,0.410900772469582,151619415,0.183411936655539,77121,0.471916094014845
"runningex10k",10,1,2,10000,231.987,0.903112408759124,200,10000,10.535,0.349268971919239,192215542,0.232520517332916,86820,0.531265871583211
"runningex10k",15,1,2,10000,232.064,0.903412165450122,200,10000,10.785,0.357557272154627,232844809,0.281669187015918,96515,0.590591172493131
"runningex10k",30,1,2,10000,231.893,0.902746472019465,200,10000,10.827,0.358949706594172,273504428,0.330854573099002,106207,0.649898115909216
"runningex10k",40,1,2,10000,231.945,0.902948905109489,200,10000,10.670,0.353744654046348,314266046,0.380163345980056,115888,0.709137748514573
"runningex10k",45,1,2,10000,232.675,0.905790754257908,200,10000,10.540,0.349434737923947,355068800,0.429521880518786,125565,0.768352904461483
"runningex10k",60,1,2,10000,232.761,0.906125547445255,200,10000,10.740,0.356065378112257,395852341,0.478857173353681,135244,0.827580298737616
"runningex10k",90,1,2,10000,233.097,0.907433576642336,200,10000,10.672,0.353810960448231,436767002,0.528351080262733,144910,0.886728143873798
"runningex10k",100,1,2,10000,233.239,0.907986374695864,200,10000,10.674,0.353877266850114,477745415,0.577922107095942,154569,0.945833154857699
"runningex10k",1000,1,2,10000,236.343,0.920070072992701,200,10000,12.602,0.417796638265425,526690564,0.637130385718993,163421,1
"runningex10k",10000,1,2,10000,256.284,0.997699270072993,200,10000,30.163,1,626680564,0.758086923812662,163421,1
"runningex10k",100000,1,2,10000,256.143,0.997150364963504,200,10000,30.000,0.994596028246527,726670564,0.879043461906331,163421,1
"runningex10k",1000000,1,2,10000,256.875,1,200,10000,29.842,0.989357822497762,826660564,1,163421,1
"runningex1k",0,1,2,1000,15.783,0.978365980659558,200,1000,0.180,0.580645161290323,1119342,0.062049798291674,1922,0.116196118735264
"runningex1k",1,1,2,1000,15.797,0.97923382097694,200,1000,0.190,0.612903225806452,9420521,0.522218792694707,10215,0.617556375068013
"runningex1k",10,1,2,1000,15.805,0.97972972972973,200,1000,0.180,0.580645161290323,9985095,0.553515485591716,11021,0.66628377969893
"runningex1k",15,1,2,1000,15.811,0.980101661294322,200,1000,0.180,0.580645161290323,10549860,0.584822766415805,11826,0.714950728492836
"runningex1k",30,1,2,1000,15.792,0.978923878006447,200,1000,0.190,0.612903225806452,11124146,0.616657836002877,12622,0.763073574753642
"runningex1k",40,1,2,1000,15.872,0.983882965534342,200,1000,0.180,0.580645161290323,11702952,0.648743468052787,13413,0.810894141829394
"runningex1k",45,1,2,1000,15.905,0.985928589139598,200,1000,0.190,0.612903225806452,12279303,0.680693009207505,14204,0.858714708905145
"runningex1k",60,1,2,1000,15.938,0.987974212744855,200,1000,0.180,0.580645161290323,12859750,0.712869608735627,14993,0.906414364306874
"runningex1k",90,1,2,1000,15.918,0.986734440862881,200,1000,0.180,0.580645161290323,13448741,0.745519837839522,15771,0.953449005501481
"runningex1k",100,1,2,1000,15.920,0.986858418051079,200,1000,0.190,0.612903225806452,14043414,0.778485043915506,16541,1
